Date : 2024-05-29 09:16:19
Directory : p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee
Total : 149 files,  67701 codes, 426 comments, 4861 blanks, all 72988 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| src\Pages\Employee\TaskEmployee (Files)                                                                                                                      |          1 |         52 |          4 |          4 |         60 |
| src\Pages\Employee\TaskEmployee\components                                                                                                                   |         12 |        495 |         10 |         36 |        541 |
| src\Pages\Employee\TaskEmployee\components (Files)                                                                                                           |          1 |         17 |          0 |          3 |         20 |
| src\Pages\Employee\TaskEmployee\components\TaskAdmin                                                                                                         |          6 |        270 |          8 |         14 |        292 |
| src\Pages\Employee\TaskEmployee\components\TaskCleaner                                                                                                       |          5 |        208 |          2 |         19 |        229 |
| src\Pages\Frontdesk                                                                                                                                          |          7 |      1,101 |         42 |         84 |      1,227 |
| src\Pages\Guest                                                                                                                                              |          2 |        312 |         17 |         15 |        344 |
| src\Pages\Home                                                                                                                                               |          2 |         80 |          0 |          8 |         88 |
| src\Pages\Login                                                                                                                                              |          2 |        157 |         14 |         17 |        188 |
| src\Pages\Overview                                                                                                                                           |          3 |        513 |          4 |         36 |        553 |
| src\Pages\Rate                                                                                                                                               |          3 |        602 |         51 |         32 |        685 |
| src\Pages\Registration                                                                                                                                       |          1 |        120 |          0 |          6 |        126 |
| src\Pages\RegistrationHotel                                                                                                                                  |          8 |        422 |          5 |         40 |        467 |
| src\Pages\RegistrationHotel (Files)                                                                                                                          |          2 |         81 |          0 |         14 |         95 |
| src\Pages\RegistrationHotel\components                                                                                                                       |          6 |        341 |          5 |         26 |        372 |
| src\Pages\RegistrationHotel\components\StepsRegistration                                                                                                     |          6 |        341 |          5 |         26 |        372 |
| src\Pages\Room                                                                                                                                               |         14 |      1,847 |         74 |        144 |      2,065 |
| src\Pages\Room (Files)                                                                                                                                       |          1 |          4 |          0 |          2 |          6 |
| src\Pages\Room\AllRooms                                                                                                                                      |          3 |        797 |         57 |         51 |        905 |
| src\Pages\Room\RepairRoom                                                                                                                                    |          5 |        424 |          4 |         37 |        465 |
| src\Pages\Room\RepairRoom (Files)                                                                                                                            |          2 |        103 |          0 |         12 |        115 |
| src\Pages\Room\RepairRoom\components                                                                                                                         |          3 |        321 |          4 |         25 |        350 |
| src\Pages\Room\RepairRoom\components\PlaningRepairRoom                                                                                                       |          1 |         92 |          0 |          8 |        100 |
| src\Pages\Room\RepairRoom\components\RepairRoomTable                                                                                                         |          1 |        180 |          4 |         11 |        195 |
| src\Pages\Room\RepairRoom\components\StatisticRepairRoom                                                                                                     |          1 |         49 |          0 |          6 |         55 |
| src\Pages\Room\RoomService                                                                                                                                   |          5 |        622 |         13 |         54 |        689 |
| src\Pages\Room\RoomService (Files)                                                                                                                           |          2 |        143 |          4 |         15 |        162 |
| src\Pages\Room\RoomService\Components                                                                                                                        |          3 |        479 |          9 |         39 |        527 |
| src\Pages\Room\RoomService\Components\RoomServiceRepair                                                                                                      |          1 |        213 |          7 |         19 |        239 |
| src\Pages\Room\RoomService\Components\RoomServiceStatistic                                                                                                   |          1 |         45 |          0 |          3 |         48 |
| src\Pages\Room\RoomService\Components\TableRoom                                                                                                              |          1 |        221 |          2 |         17 |        240 |
| src\Pages\Services                                                                                                                                           |         12 |        553 |          3 |         30 |        586 |
| src\Pages\Services (Files)                                                                                                                                   |          2 |         71 |          0 |          6 |         77 |
| src\Pages\Services\Components                                                                                                                                |         10 |        482 |          3 |         24 |        509 |
| src\Pages\Services\Components\ServicesGroupTab                                                                                                               |          3 |        131 |          2 |          6 |        139 |
| src\Pages\Services\Components\ServicesTab                                                                                                                    |          7 |        351 |          1 |         18 |        370 |
| src\Pages\SettingsHotel                                                                                                                                      |          2 |        197 |          4 |         15 |        216 |
| src\Pages\StatisticAndReports                                                                                                                                |          2 |        398 |         13 |         16 |        427 |
| src\Pages\Users                                                                                                                                              |          2 |        233 |          4 |         10 |        247 |
| src\components                                                                                                                                               |          6 |        261 |         12 |         21 |        294 |
| src\components\Calendar                                                                                                                                      |          2 |        180 |         11 |         10 |        201 |
| src\components\Description                                                                                                                                   |          1 |         13 |          0 |          3 |         16 |
| src\components\Loading                                                                                                                                       |          2 |         31 |          0 |          6 |         37 |
| src\components\NumericInput                                                                                                                                  |          1 |         37 |          1 |          2 |         40 |
| src\context                                                                                                                                                  |          1 |          2 |          0 |          2 |          4 |
| src\css                                                                                                                                                      |          5 |     16,964 |         59 |      4,016 |     21,039 |
| src\http                                                                                                                                                     |          1 |          6 |          0 |          3 |          9 |
| src\routes                                                                                                                                                   |          1 |        129 |          3 |          2 |        134 |
| src\services                                                                                                                                                 |         11 |        442 |         14 |         38 |        494 |
| src\store                                                                                                                                                    |         19 |      1,586 |          0 |        143 |      1,729 |
| src\store (Files)                                                                                                                                            |          1 |         28 |          0 |          3 |         31 |
| src\store\actions                                                                                                                                            |          9 |        706 |          0 |         59 |        765 |
| src\store\reducers                                                                                                                                           |          9 |        852 |          0 |         81 |        933 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                                                     | language       | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\.dockerignore                                                                           | Ignore         |          5 |          0 |          0 |          5 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\.eslintrc.cjs                                                                           | JavaScript     |         20 |          0 |          1 |         21 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\Dockerfile                                                                              | Docker         |         14 |          0 |          9 |         23 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\README.md                                                                               | Markdown       |          0 |          0 |          1 |          1 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\index.html                                                                              | HTML           |         13 |          0 |          1 |         14 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\nginx\nginx.conf                                                                        | Properties     |         37 |          0 |          6 |         43 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\package-lock.json                                                                       | JSON           |     39,077 |          0 |          1 |     39,078 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\package.json                                                                            | JSON           |         49 |          0 |          1 |         50 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\public\image\logo.svg                                                                   | XML            |         21 |          0 |          1 |         22 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\public\image\roomService_checked.svg                                                    | XML            |         23 |          0 |          2 |         25 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\public\image\roomService_cleanRoom.svg                                                  | XML            |         42 |          0 |          2 |         44 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\public\image\roomService_cleaning.svg                                                   | XML            |         48 |          0 |          2 |         50 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\public\image\roomService_repair.svg                                                     | XML            |         40 |          0 |          2 |         42 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\public\image\services_without.svg                                                       | XML            |         11 |          0 |          1 |         12 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\public\image\vip.svg                                                                    | XML            |          7 |          0 |          1 |          8 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\public\image\x1.svg                                                                     | XML            |         35 |          0 |          1 |         36 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\public\image\x2.svg                                                                     | XML            |         35 |          0 |          1 |         36 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\public\image\x3.svg                                                                     | XML            |         35 |          0 |          1 |         36 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Layout\Layout.jsx                                                                   | JavaScript JSX |        298 |         22 |         28 |        348 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Layout\Layout.scss                                                                  | SCSS           |         17 |          1 |          4 |         22 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Layout\WrapperLayout.jsx                                                            | JavaScript JSX |         22 |          0 |          2 |         24 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Deal\DealCreate.jsx                                                           | JavaScript JSX |        263 |         25 |         10 |        298 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Deal\DealInfoModal.jsx                                                        | JavaScript JSX |         43 |          0 |          4 |         47 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Deal\DealPage.jsx                                                             | JavaScript JSX |        340 |         33 |         18 |        391 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Deal\DealPage.scss                                                            | SCSS           |         13 |          0 |          3 |         16 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Employee\AllEmployee.jsx                                                      | JavaScript JSX |        105 |          2 |          4 |        111 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Employee\Employee.scss                                                        | SCSS           |        140 |          7 |         21 |        168 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Employee\EmployeeCreate.jsx                                                   | JavaScript JSX |        227 |          3 |          4 |        234 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Employee\SсheduleEmployee.jsx                                                 | JavaScript JSX |        197 |          0 |          3 |        200 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Employee\TaskEmployee\TaskEmployee.jsx                                        | JavaScript JSX |         52 |          4 |          4 |         60 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Employee\TaskEmployee\components\ConfirmModal.jsx                             | JavaScript JSX |         17 |          0 |          3 |         20 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Employee\TaskEmployee\components\TaskAdmin\AdminListComplaintModal.jsx        | JavaScript JSX |         82 |          0 |          3 |         85 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Employee\TaskEmployee\components\TaskAdmin\AdminReferenceModal.jsx            | JavaScript JSX |         58 |          0 |          2 |         60 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Employee\TaskEmployee\components\TaskAdmin\CardEmployee.jsx                   | JavaScript JSX |         21 |          0 |          1 |         22 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Employee\TaskEmployee\components\TaskAdmin\DataAdminListCancelReservation.jsx | JavaScript JSX |         45 |          5 |          3 |         53 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Employee\TaskEmployee\components\TaskAdmin\DataAdminListСomplaint.jsx         | JavaScript JSX |         47 |          3 |          2 |         52 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Employee\TaskEmployee\components\TaskAdmin\ListTaskAdmin.jsx                  | JavaScript JSX |         17 |          0 |          3 |         20 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Employee\TaskEmployee\components\TaskCleaner\ContentAddEmployeeTask.jsx       | JavaScript JSX |         61 |          0 |          4 |         65 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Employee\TaskEmployee\components\TaskCleaner\DataCleanerListTask.jsx          | JavaScript JSX |         45 |          0 |          3 |         48 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Employee\TaskEmployee\components\TaskCleaner\ListItemTask.jsx                 | JavaScript JSX |         57 |          2 |          5 |         64 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Employee\TaskEmployee\components\TaskCleaner\ListTaskCleaner.jsx              | JavaScript JSX |         20 |          0 |          4 |         24 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Employee\TaskEmployee\components\TaskCleaner\ManualAddTaskCleaner.jsx         | JavaScript JSX |         25 |          0 |          3 |         28 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Frontdesk\FrontdeskCreate.jsx                                                 | JavaScript JSX |        144 |          9 |         11 |        164 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Frontdesk\FrontdeskPage.jsx                                                   | JavaScript JSX |        104 |         10 |          8 |        122 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Frontdesk\FrontdeskPage.scss                                                  | SCSS           |         92 |          0 |         22 |        114 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Frontdesk\SelectRateModal.jsx                                                 | JavaScript JSX |         82 |          0 |          9 |         91 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Frontdesk\StepOne.jsx                                                         | JavaScript JSX |        379 |         22 |         20 |        421 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Frontdesk\StepSecond.jsx                                                      | JavaScript JSX |        158 |          1 |          7 |        166 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Frontdesk\StepThird.jsx                                                       | JavaScript JSX |        142 |          0 |          7 |        149 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Guest\GuestPage.jsx                                                           | JavaScript JSX |        309 |         17 |         14 |        340 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Guest\GuestPage.scss                                                          | SCSS           |          3 |          0 |          1 |          4 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Home\HomePage.jsx                                                             | JavaScript JSX |         57 |          0 |          5 |         62 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Home\HomePage.scss                                                            | SCSS           |         23 |          0 |          3 |         26 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Login\LoginPage.jsx                                                           | JavaScript JSX |        118 |         14 |         11 |        143 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Login\LoginPage.scss                                                          | SCSS           |         39 |          0 |          6 |         45 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Overview\OverviewPage.jsx                                                     | JavaScript JSX |        227 |          4 |          8 |        239 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Overview\OverviewPage.scss                                                    | SCSS           |         91 |          0 |         22 |        113 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Overview\optionsCharts.js                                                     | JavaScript     |        195 |          0 |          6 |        201 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Rate\RateCreate.jsx                                                           | JavaScript JSX |        280 |         26 |         13 |        319 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Rate\RatePage.jsx                                                             | JavaScript JSX |        301 |         25 |         13 |        339 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Rate\RatePage.scss                                                            | SCSS           |         21 |          0 |          6 |         27 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\RegistrationHotel\RegistrationHotel.jsx                                       | JavaScript JSX |         32 |          0 |          5 |         37 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\RegistrationHotel\components\StepsRegistration\StepFive.jsx                   | JavaScript JSX |         80 |          0 |          3 |         83 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\RegistrationHotel\components\StepsRegistration\StepFour.jsx                   | JavaScript JSX |         29 |          1 |          2 |         32 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\RegistrationHotel\components\StepsRegistration\StepOne.jsx                    | JavaScript JSX |         39 |          1 |          5 |         45 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\RegistrationHotel\components\StepsRegistration\StepThree.jsx                  | JavaScript JSX |         27 |          1 |          2 |         30 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\RegistrationHotel\components\StepsRegistration\StepTwo.jsx                    | JavaScript JSX |         28 |          1 |          2 |         31 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\RegistrationHotel\components\StepsRegistration\StepsRegistration.jsx          | JavaScript JSX |        138 |          1 |         12 |        151 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\RegistrationHotel\style.scss                                                  | SCSS           |         49 |          0 |          9 |         58 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Registration\RegistrationPage.jsx                                             | JavaScript JSX |        120 |          0 |          6 |        126 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Room\AllRooms\Room.scss                                                       | SCSS           |        118 |          0 |         15 |        133 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Room\AllRooms\RoomCreate.jsx                                                  | JavaScript JSX |        356 |         27 |         23 |        406 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Room\AllRooms\RoomPage.jsx                                                    | JavaScript JSX |        323 |         30 |         13 |        366 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Room\RepairRoom\RepairRoom.jsx                                                | JavaScript JSX |         40 |          0 |          3 |         43 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Room\RepairRoom\components\PlaningRepairRoom\PlaningRepairRoom.jsx            | JavaScript JSX |         92 |          0 |          8 |        100 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Room\RepairRoom\components\RepairRoomTable\RepairRoomTable.jsx                | JavaScript JSX |        180 |          4 |         11 |        195 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Room\RepairRoom\components\StatisticRepairRoom\StatisticRepairRoom.jsx        | JavaScript JSX |         49 |          0 |          6 |         55 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Room\RepairRoom\style.scss                                                    | SCSS           |         63 |          0 |          9 |         72 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Room\RoomService\Components\RoomServiceRepair\RoomServiceRepair.jsx           | JavaScript JSX |        213 |          7 |         19 |        239 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Room\RoomService\Components\RoomServiceStatistic\RoomServiceStatistic.jsx     | JavaScript JSX |         45 |          0 |          3 |         48 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Room\RoomService\Components\TableRoom\TableRoom.jsx                           | JavaScript JSX |        221 |          2 |         17 |        240 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Room\RoomService\RoomService.jsx                                              | JavaScript JSX |         90 |          4 |          8 |        102 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Room\RoomService\RoomService.scss                                             | SCSS           |         53 |          0 |          7 |         60 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Room\index.js                                                                 | JavaScript     |          4 |          0 |          2 |          6 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Services\Components\ServicesGroupTab\GroupTabModal.jsx                        | JavaScript JSX |         32 |          2 |          2 |         36 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Services\Components\ServicesGroupTab\GroupTabTable.jsx                        | JavaScript JSX |         81 |          0 |          1 |         82 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Services\Components\ServicesGroupTab\ServicesGroupTab.jsx                     | JavaScript JSX |         18 |          0 |          3 |         21 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Services\Components\ServicesTab\PageWithoutServices.jsx                       | JavaScript JSX |         12 |          0 |          1 |         13 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Services\Components\ServicesTab\ServiceTabTable.jsx                           | JavaScript JSX |         92 |          0 |          6 |         98 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Services\Components\ServicesTab\ServicesTab.jsx                               | JavaScript JSX |         15 |          1 |          2 |         18 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Services\Components\ServicesTab\ServicesTabCreate.jsx                         | JavaScript JSX |         77 |          0 |          1 |         78 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Services\Components\ServicesTab\TabCreateStep1.jsx                            | JavaScript JSX |         41 |          0 |          2 |         43 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Services\Components\ServicesTab\TabCreateStep2.jsx                            | JavaScript JSX |         52 |          0 |          3 |         55 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Services\Components\ServicesTab\TabCreateStep3.jsx                            | JavaScript JSX |         62 |          0 |          3 |         65 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Services\Services.jsx                                                         | JavaScript JSX |         30 |          0 |          2 |         32 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Services\Services.scss                                                        | SCSS           |         41 |          0 |          4 |         45 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\SettingsHotel\SettingsHotel.jsx                                               | JavaScript JSX |        169 |          4 |         10 |        183 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\SettingsHotel\style.scss                                                      | SCSS           |         28 |          0 |          5 |         33 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\StatisticAndReports\StatisticAndReports.jsx                                   | JavaScript JSX |        240 |         13 |         10 |        263 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\StatisticAndReports\optionTables.js                                           | JavaScript     |        158 |          0 |          6 |        164 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Users\EditUser.jsx                                                            | JavaScript JSX |         72 |          0 |          6 |         78 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\Users\Users.jsx                                                               | JavaScript JSX |        161 |          4 |          4 |        169 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\Pages\index.js                                                                      | JavaScript     |          6 |          0 |          2 |          8 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\components\Calendar\Calendar.css                                                    | CSS            |         22 |          0 |          2 |         24 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\components\Calendar\Calendar.jsx                                                    | JavaScript JSX |        158 |         11 |          8 |        177 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\components\Description\Description.jsx                                              | JavaScript JSX |         13 |          0 |          3 |         16 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\components\Loading\Loading.css                                                      | CSS            |         18 |          0 |          3 |         21 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\components\Loading\Loading.jsx                                                      | JavaScript JSX |         13 |          0 |          3 |         16 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\components\NumericInput\NumericInput.jsx                                            | JavaScript JSX |         37 |          1 |          2 |         40 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\context\booking.context.js                                                          | JavaScript     |          2 |          0 |          2 |          4 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\css\bootstrap-grid.css                                                              | CSS            |      3,865 |          7 |      1,130 |      5,002 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\css\bootstrap-reboot.css                                                            | CSS            |        346 |         16 |         64 |        426 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\css\bootstrap-utilities.css                                                         | CSS            |      3,634 |          9 |      1,109 |      4,752 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\css\bootstrap.css                                                                   | CSS            |      9,102 |         27 |      1,708 |     10,837 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\css\fonts.scss                                                                      | SCSS           |         17 |          0 |          5 |         22 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\http\index.js                                                                       | JavaScript     |          6 |          0 |          3 |          9 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\main.jsx                                                                            | JavaScript JSX |         15 |          0 |          2 |         17 |
| p:\Programming\NowDevelop\HotelBooking\hotel-booking-client-employee\src\routes\routes.js                                                                    | JavaScript     |        129 |          3 |          2 |        134 |
